title,url,subject,modality,price,duration,registration,description
Harvard Negotiation Master Class,https://pll.harvard.edu/course/harvard-negotiation-master-class-0,Business,In-Person,"$8,997",,Starts Apr 13,
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,https://pll.harvard.edu/course/causal-diagrams-draw-your-assumptions-your-conclusions,Data Science,Online,Free*,9 weeks,Available now,
Data Science: Productivity Tools,https://pll.harvard.edu/course/data-science-productivity-tools,Data Science,Online,Free*,8 weeks,Available now,
Business Strategy: Evaluating and Executing the Strategic Plan,https://pll.harvard.edu/course/business-strategy-evaluating-and-executing-strategic-plan-0/2026-10,Business,Online Live,"$2,950",,Register by Sep 28,Explore the concepts and tools of strategic business management. Learn more about the organizational strategy within which managers make decisions and how it relates to competitive advantage.
Stem Cell Medicine: From Scientific Research to Patient Care,https://pll.harvard.edu/course/stem-cell-medicine-scientific-research-patient-care-0,Health & Medicine,Online,Free*,,Available now,
Leadership for Senior Executives,https://pll.harvard.edu/course/leadership-senior-executives,Business,In-Person,"$18,000",1 week,Starts Mar 8,
Advanced Negotiation Skills,https://pll.harvard.edu/course/advanced-negotiation-skills-0/2026-05,Business,In-Person,"$3,200",,Register by May 12,Develop sophisticated negotiation skills to create value for all parties at the bargaining table.
Negotiation Mastery,https://pll.harvard.edu/course/negotiation-mastery,Business,Online,"$1,850",8 weeks,Available now,
Super-Earths and Life,https://pll.harvard.edu/course/super-earths-and-life,Science,Online,Free*,15 weeks,Available now,
HMX Physiology,https://pll.harvard.edu/course/hmx-physiology,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Islam Through Its Scriptures,https://pll.harvard.edu/course/islam-through-its-scriptures,Humanities,Online,Free*,4 weeks,Available now,
Executive Leadership Coaching,https://pll.harvard.edu/course/executive-leadership-coaching/2026-12,Business,In-Person,"$3,200",,Register by Dec 1,"Deepen your executive coaching expertise. Apply the theories and principles of neuroscience, human development, and somatic (body-oriented) coaching to transform your executive and leadership coaching skills."
Audit Committees in a New Era of Governance,https://pll.harvard.edu/course/audit-committees-new-era-governance/2026-10,Business,In-Person,"$8,250",1 week,Starts Oct 28,
Drug Delivery,https://pll.harvard.edu/course/drug-delivery,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Negotiating Salary,https://pll.harvard.edu/course/negotiating-salary,Business,Online,Free*,,Available now,
Dynamic Teaming,https://pll.harvard.edu/course/dynamic-teaming,Business,Online,"$1,850",,Available now,
Data Science: Visualization,https://pll.harvard.edu/course/data-science-visualization,Data Science,Online,Free*,8 weeks,Available now,
Ethical Leadership,https://pll.harvard.edu/course/ethical-leadership-0/2026-12,Business,Online Live,"$1,570",,Register by Nov 26,Develop the ability to lead through challenging dilemmas and competing values to promote ethical decision-making.
Clinician Leadership Program,https://pll.harvard.edu/course/clinician-leadership-program,Health & Medicine,Blended,"$7,550",,Register by May 14,
Marketing Analytics: Strategies for Driving Business Results,https://pll.harvard.edu/course/marketing-analytics-strategies-driving-business-results-0/2026-08,Business,Online Live,"$2,950",,Register by Aug 16,Transform your marketing strategy with data-driven leadership
Communication Strategies: Presenting with Impact,https://pll.harvard.edu/course/communication-strategies-presenting-impact-0/2026-10,Business,In-Person,"$3,200",,Register by Oct 6,"Gain the skills needed to engage, inform and inspire others — and improve your ability to communicate as a leader."
Credential of Digital Innovation and Strategy,https://pll.harvard.edu/course/credential-digital-innovation-and-strategy,Business,Online,"$6,500",,Available now,
Foundations of Clinical Research,https://pll.harvard.edu/course/foundations-clinical-research,Health & Medicine,Online Live,"$9,200",,Starts Sep 26,
Data Science: Wrangling,https://pll.harvard.edu/course/data-science-wrangling/2026-04,Data Science,Online,Free*,8 weeks,Opens Apr 15,
Alternative Investments,https://pll.harvard.edu/course/alternative-investments,Business,Online,"$1,850",5 weeks,Available now,
Effective Organizational Communciation,https://pll.harvard.edu/course/effective-organizational-communciation,Business,In-Person,"$3,200",,Register by Jun 16,"Through small group activities and real-time feedback, you will test out new approaches and learn to communicate to inspire action."
The Opioid Crisis in America,https://pll.harvard.edu/course/opioid-crisis-america,Health & Medicine,Online,Free*,10 weeks,Available now,
Leading AI Innovation in Health Care,https://pll.harvard.edu/course/leading-ai-innovation-health-care-0,Health & Medicine,Blended,"$8,755",,Register by Apr 15,
Strategic Leadership,https://pll.harvard.edu/course/strategic-leadership-0,Business,In-Person,"$4,200",,Register by Mar 15,Enhance your ability to creatively problem-solve for the demands of working in ‘the new normal'.
AI in Medicine: Natural Language Processing,https://pll.harvard.edu/course/ai-medicine-natural-language-processing,Computer Science,Online,$495,,Available now,
Strategic Leadership,https://pll.harvard.edu/course/strategic-leadership-0/2026-09,Business,In-Person,"$4,200",,Register by Sep 13,Enhance your ability to creatively problem-solve for the demands of working in ‘the new normal'.
Cognitive Fitness,https://pll.harvard.edu/course/cognitive-fitness,Health & Medicine,Online,$30,2 weeks,Available now,
Ancient Masterpieces of World Literature,https://pll.harvard.edu/course/ancient-masterpieces-world-literature/2026-03,Humanities,Online,Free*,6 weeks,Opens Mar 11,
Strategic Project Management,https://pll.harvard.edu/course/strategic-project-management-0,Business,In-Person,"$3,200",,Register by May 12,"Plan, manage, and execute projects that are essential to the success of your business."
Human Anatomy: Musculoskeletal Cases,https://pll.harvard.edu/course/anatomyx-musculoskeletal-cases,Science,Online,Free*,,Available now,
Becoming a Leader: Developing Your Style and Making Sound Decisions,https://pll.harvard.edu/course/becoming-leader-developing-your-style-and-making-sound-decisions-0/2026-06,Business,In-Person,"$3,200",,Register by Jun 16,Explore the symbiotic relationship between decision making and leadership to maximize organizational performance.
Cybersecurity: The Intersection of Policy and Technology,https://pll.harvard.edu/course/cybersecurity-intersection-policy-and-technology,Social Sciences,In-Person,"$11,300",1 week,Register by Jun 1,
Effective Organizational Communciation,https://pll.harvard.edu/course/effective-organizational-communciation/2026-08,Business,In-Person,"$3,200",,Register by Aug 18,"Through small group activities and real-time feedback, you will test out new approaches and learn to communicate to inspire action."
Machine Learning and AI with Python,https://pll.harvard.edu/course/machine-learning-and-ai-python,Computer Science,Online,Free*,6 weeks,Available now,
Radiological Emergency Management,https://pll.harvard.edu/course/radiological-emergency-management,Health & Medicine,In-Person,"$3,500",,Register by Oct 30,
Introduction to Data Science with Python,https://pll.harvard.edu/course/introduction-data-science-python,Computer Science,Online,Free*,8 weeks,Available now,
CS50's Introduction to Artificial Intelligence with Python,https://pll.harvard.edu/course/cs50s-introduction-artificial-intelligence-python,Computer Science,Online,Free*,7 weeks,Available now,
Starting and Building Your Consulting Business,https://pll.harvard.edu/course/starting-and-building-your-consulting-business-0,Business,Online Live,"$2,950",,Register by Aug 3,Learn how to leverage your expertise to establish and grow your consulting practice. Harness your subject matter expertise and discover your niche to establish your competitive advantage in a highly competitive market.
AI in Medicine: Biomedical Signal Interpretation,https://pll.harvard.edu/course/ai-medicine-biomedical-signal-interpretation,Health & Medicine,Online,$495,,Available now,
Buddhism Through Its Scriptures,https://pll.harvard.edu/course/buddhism-through-its-scriptures,Humanities,Online,Free*,4 weeks,Available now,
Innovations in Teamwork for Health Care,https://pll.harvard.edu/course/innovations-teamwork-health-care,Business,Online,"$1,600",5 weeks,Opens Apr 22,
Psychopharmacology: A Master Class,https://pll.harvard.edu/course/psychopharmacology-master-class-0,Health & Medicine,Online Live,$920,,Register by Mar 21,
HMX Biochemistry,https://pll.harvard.edu/course/hmx-biochemistry,Health & Medicine,Online,"$1,025",,Register by Apr 7,
"Mergers and Acquisitions: Strategy, Execution, and Post-Merger Management",https://pll.harvard.edu/course/mergers-and-acquisitions-strategy-execution-and-post-merger-management,Business,In-Person,"$18,500",1 week,Starts Jan 17,
Financial Management in Health Care for Non-Financial Managers,https://pll.harvard.edu/course/financial-management-health-care-non-financial-managers,Business,Online,"$2,200",,Register by Feb 27,
Building Organizational Cultures: A Framework for Leaders,https://pll.harvard.edu/course/building-organizational-cultures-framework-leaders-0/2026-09,Business,In-Person,"$3,200",,Register by Aug 25,Critically assess how culture affects organizations and learn how to create an environment that promotes advancement of people.
"Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",https://pll.harvard.edu/course/first-nights-igor-stravinsky%E2%80%99s-rite-spring-modernism-ballet-and-riots,Art & Design,Online,Free*,3 weeks,Available now,
AI Strategy for Business Leaders: From Hype to Impact,https://pll.harvard.edu/course/ai-strategy-business-leaders-hype-impact-0/2026-06,Business,In-Person,"$3,200",,Register by Jun 21,Leverage new technologies to build value for your organization.
Shakespeare's Life and Work,https://pll.harvard.edu/course/shakespeares-life-and-work,Humanities,Online,Free*,,Available now,
Executive Leadership: Skills Experienced Leaders Need to Succeed,https://pll.harvard.edu/course/executive-leadership-skills-experienced-leaders-need-succeed-0/2026-08,Business,In-Person,"$5,100",,Register by Aug 2,Strengthen your executive vision and presence to enhance your influence and lead your organization to success.
Real Estate Development Fundamentals,https://pll.harvard.edu/course/real-estate-development-fundamentals,Business,In-Person,"$2,150",,Register by Jun 8,
Generative AI Strategy and Execution,https://pll.harvard.edu/course/generative-ai-strategy-and-execution,Business,In-Person,"$12,000",,Starts Jun 10,
Strategies for Leading Successful Change Initiatives: Mastery Session,https://pll.harvard.edu/course/strategies-leading-successful-change-initiatives-mastery-session-0,Business,In-Person,"$4,200",,Register by Mar 15,"Master the key skills requisite to lead your teams through critical change initiatives. You'll learn to build trust, gain buy-in, and create inspiration and innovation that will lead to your team's success."
Humanitarian Response to Conflict and Disaster,https://pll.harvard.edu/course/humanitarian-response-conflict-and-disaster,Health & Medicine,Online,Free*,5 weeks,Available now,
AI Marketing Course: Transforming Strategies with Generative AI,https://pll.harvard.edu/course/ai-marketing-course-transforming-strategies-generative-ai/2026-09,Business,In-Person,"$3,200",,Register by Sep 15,"Learn to harness generative AI, hyper-personalization, and predictive analytics to optimize customer engagement, boost conversions, and drive measurable growth."
Practical Improvement Science in Health Care: A Roadmap for Getting Results,https://pll.harvard.edu/course/ph556x-practical-improvement-science-health-care-roadmap-getting-results/2026-02,Business,Online,Free*,,Available now,
